MIN/MAX,Component,Value
MAX,DX,4.51194665163251E-01
MAX,DY,6.58911912686717E-02
MAX,DZ,2.88108766796990E-03
MIN,DX,-1.12445669172356E-18
MIN,DY,-6.58911912686492E-02
MIN,DZ,-2.88108766797013E-03
