MIN/MAX,Component,Value
MAX,DX,3.97051305343709E-01
MAX,DY,5.79842483164116E-02
MAX,DZ,2.53535714781334E-03
MIN,DX,-2.07877660165538E-18
MIN,DY,-5.79842483163882E-02
MIN,DZ,-2.53535714781230E-03
